server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;0;0.0;7.0;1;27;6.0;7.0
2;0;0.0;32.0;0;7;29.0;32.0
3;1;1.0;24.0;2;19;24.0;23.0
4;1;1.0;16.0;3;9;13.0;15.0
5;2;2.0;22.0;5;12;21.0;20.0
7;2;2.0;15.0;6;10;14.0;13.0
8;2;2.0;3.0;4;22;2.0;1.0
9;7;7.0;28.0;7;27;20.0;21.0
11;9;9.0;18.0;10;24;9.0;9.0
15;9;9.0;28.0;9;29;17.0;19.0
16;9;9.0;18.0;8;3;11.0;9.0
10;12;12.0;31.0;12;26;18.0;19.0
19;12;12.0;28.0;13;20;16.0;16.0
17;12;12.0;25.0;14;19;13.0;13.0
8;12;12.0;18.0;11;12;9.0;6.0
1;13;13.0;34.0;15;3;24.0;21.0
0;15;15.0;25.0;16;20;10.0;10.0
7;15;15.0;32.0;17;20;18.0;17.0
6;16;16.0;18.0;18;29;2.0;2.0
4;16;16.0;28.0;19;0;11.0;12.0
13;18;18.0;27.0;20;8;6.0;9.0
6;18;18.0;33.0;22;5;14.0;15.0
8;18;18.0;44.0;21;28;24.0;26.0
12;25;25.0;27.0;26;24;1.0;2.0
14;25;25.0;45.0;25;16;19.0;20.0
18;25;25.0;26.0;24;28;1.0;1.0
11;25;25.0;36.0;23;24;9.0;11.0
18;28;28.0;32.0;27;18;3.0;4.0
12;28;28.0;44.0;29;17;17.0;16.0
13;28;28.0;36.0;28;25;9.0;8.0
16;29;29.0;33.0;36;27;4.0;4.0
0;29;29.0;50.0;34;13;20.0;21.0
17;29;29.0;37.0;31;21;8.0;8.0
19;29;29.0;42.0;37;10;14.0;13.0
15;29;29.0;55.0;35;21;25.0;26.0
5;29;29.0;35.0;32;2;4.0;6.0
9;29;29.0;30.0;30;12;1.0;1.0
9;30;30.0;49.0;38;23;18.0;19.0
3;30;30.0;31.0;39;20;1.0;1.0
4;30;30.0;51.0;40;16;24.0;21.0
10;31;31.0;42.0;42;3;10.0;11.0
3;31;31.0;42.0;41;6;15.0;11.0
18;31;32.0;33.0;43;4;1.0;1.0
18;33;33.0;35.0;46;2;2.0;2.0
16;33;33.0;35.0;45;24;1.0;2.0
7;33;33.0;48.0;44;13;13.0;15.0
1;34;34.0;46.0;48;2;14.0;12.0
18;35;35.0;37.0;49;28;1.0;2.0
16;35;35.0;47.0;50;3;11.0;12.0
5;33;35.0;44.0;47;0;11.0;9.0
18;40;40.0;41.0;51;4;1.0;1.0
13;40;40.0;69.0;52;9;28.0;29.0
18;41;41.0;67.0;54;12;28.0;26.0
11;41;41.0;47.0;53;28;5.0;6.0
17;41;41.0;47.0;55;17;8.0;6.0
19;41;42.0;68.0;56;27;27.0;26.0
12;44;44.0;46.0;57;29;2.0;2.0
10;44;44.0;68.0;58;7;23.0;24.0
12;46;46.0;49.0;60;10;3.0;3.0
14;46;46.0;51.0;59;18;4.0;5.0
11;47;47.0;68.0;63;5;20.0;21.0
16;47;47.0;58.0;62;17;17.0;11.0
17;47;47.0;68.0;61;9;23.0;21.0
8;48;48.0;61.0;64;16;14.0;13.0
