server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;11.0;1;18;10.0;10.0
1;1;1.0;13.0;0;23;13.0;12.0
2;2;2.0;5.0;3;15;2.0;3.0
3;2;2.0;24.0;2;5;22.0;22.0
4;7;7.0;12.0;4;13;8.0;5.0
5;7;7.0;11.0;6;2;4.0;4.0
7;7;7.0;33.0;5;18;26.0;26.0
9;8;8.0;25.0;7;28;18.0;17.0
10;9;9.0;20.0;8;9;13.0;11.0
13;10;10.0;11.0;10;24;2.0;1.0
16;10;10.0;39.0;9;27;29.0;29.0
11;11;11.0;27.0;12;10;19.0;16.0
14;11;11.0;29.0;11;0;19.0;18.0
17;12;12.0;13.0;19;8;1.0;1.0
19;12;12.0;20.0;23;17;9.0;8.0
13;12;12.0;37.0;17;3;24.0;25.0
2;12;12.0;19.0;24;10;7.0;7.0
5;12;12.0;30.0;14;27;18.0;18.0
4;12;12.0;13.0;20;26;1.0;1.0
0;12;12.0;16.0;22;15;1.0;4.0
6;12;12.36377035077334;13.36377035077334;21;23;1.0;1.0
17;12;13.0;17.0;27;26;5.0;4.0
4;12;13.0;23.0;13;16;10.0;10.0
1;12;13.0;16.0;25;27;4.0;3.0
6;12;13.36377035077334;19.36377035077334;26;5;8.0;6.0
0;16;16.0;18.0;31;17;1.0;2.0
1;12;16.0;36.0;18;19;20.0;20.0
17;12;17.0;21.0;16;1;6.0;4.0
0;14;18.0;19.0;28;17;1.0;1.0
2;16;19.0;31.0;30;16;12.0;12.0
0;12;19.0;21.0;15;16;4.0;2.0
6;16;19.36377035077334;25.36377035077334;29;25;6.0;6.0
18;19;19.417822451197452;20.417822451197452;32;26;2.0;1.0
12;21;21.0;27.0;34;3;6.0;6.0
18;21;21.0;27.0;33;24;12.0;6.0
8;23;23.0;32.0;39;9;12.0;9.0
15;23;23.0;24.0;36;15;2.0;1.0
19;23;23.0;27.0;41;20;6.0;4.0
17;23;23.0;40.0;35;11;16.0;17.0
10;23;23.0;28.0;37;7;2.0;5.0
4;23;23.0;42.0;42;6;18.0;19.0
0;23;23.0;32.0;40;19;10.0;9.0
15;23;24.0;45.0;38;25;20.0;21.0
9;25;25.0;51.0;45;24;25.0;26.0
3;25;25.0;27.0;43;4;3.0;2.0
6;25;25.36377035077334;49.363770350773336;44;27;22.0;23.999999999999996
12;27;27.0;28.0;50;4;2.0;1.0
18;26;27.0;42.0;48;15;16.0;15.0
19;27;27.0;35.0;49;20;6.0;8.0
11;26;27.0;28.0;46;21;2.0;1.0
3;26;27.0;48.0;47;20;22.0;21.0
12;28;28.0;52.0;51;6;25.0;24.0
10;28;28.0;40.0;55;4;12.0;12.0
11;28;28.0;37.0;54;23;7.0;9.0
14;28;29.0;47.0;52;29;16.0;18.0
5;28;30.0;35.0;53;22;6.0;5.0
2;28;31.0;35.0;56;9;2.0;4.0
8;32;32.0;33.0;58;6;2.0;1.0
0;32;32.0;37.0;59;11;5.0;5.0
8;30;33.0;66.0;57;7;29.0;33.0
7;34;34.0;54.0;64;8;21.0;20.0
19;35;35.0;43.0;68;0;7.0;8.0
2;34;35.0;37.0;61;14;3.0;2.0
5;34;35.0;49.0;65;25;17.0;14.0
1;34;36.0;37.0;63;20;2.0;1.0
11;34;37.0;47.0;66;27;8.0;10.0
13;34;37.0;58.0;67;20;21.0;21.0
2;36;37.0;51.0;71;0;16.0;14.0
0;36;37.0;64.0;72;7;27.0;27.0
1;34;37.0;54.0;62;7;19.0;17.0
16;38;39.0;57.0;74;12;19.0;18.0
17;38;40.0;53.0;73;4;15.0;13.0
10;39;40.0;43.0;75;7;2.0;3.0
18;39;42.0;66.0;76;27;23.0;24.0
19;43;43.0;61.0;78;25;17.0;18.0
10;43;43.0;65.0;77;20;22.0;22.0
15;47;47.0;62.0;84;7;14.0;15.0
4;47;47.0;63.0;79;4;17.0;16.0
11;47;47.0;53.0;83;27;8.0;6.0
14;47;47.0;61.0;82;10;14.0;14.0
3;47;48.0;61.0;81;1;15.0;13.0
5;49;49.0;56.0;86;4;7.0;7.0
6;49;49.363770350773336;74.36377035077334;94;14;25.0;25.0
2;49;51.0;71.0;96;4;21.0;20.0
9;49;51.0;52.0;89;4;1.0;1.0
12;52;52.0;60.0;105;14;11.0;8.0
