server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;25.0;1;25;24.0;24.0
1;1;1.0;28.0;0;5;27.0;27.0
5;2;2.0;8.0;3;20;5.0;6.0
6;2;2.0;6.0;2;27;5.0;4.0
8;2;2.0;14.0;6;17;13.0;12.0
9;7;7.0;14.0;7;12;6.0;7.0
10;7;7.0;36.0;8;20;29.0;29.0
11;8;8.0;18.0;9;27;11.0;10.0
3;9;9.0;19.0;10;5;7.0;10.0
7;9;9.0;27.0;11;23;15.0;18.0
12;9;9.0;34.0;12;23;24.0;25.0
13;11;11.0;19.0;13;8;7.0;8.0
14;11;11.0;26.0;16;13;15.0;15.0
15;11;11.0;13.0;15;3;1.0;2.0
16;11;11.0;20.0;14;9;8.0;9.0
17;12;12.0;37.0;18;22;25.0;25.0
18;12;12.0;34.0;17;11;22.0;22.0
19;13;13.0;37.0;19;27;24.0;24.0
15;14;14.0;20.0;21;22;5.0;6.0
6;14;14.0;18.0;22;8;7.0;4.0
5;14;14.0;44.0;20;5;29.0;30.0
9;14;14.0;32.0;23;10;16.0;18.0
4;16;16.0;18.0;27;22;1.0;2.0
8;16;16.0;17.0;24;24;3.0;1.0
8;16;17.0;20.0;29;24;3.0;3.0
4;18;18.0;19.0;33;22;1.0;1.0
6;16;18.0;24.0;31;6;4.0;6.0
11;16;18.0;19.0;28;15;4.0;1.0
4;16;19.0;23.0;26;2;3.0;4.0
13;19;19.0;26.0;35;8;7.0;7.0
3;16;19.0;39.0;32;10;21.0;20.0
11;16;19.0;30.0;25;24;10.0;11.0
15;21;21.0;23.0;36;3;1.0;2.0
16;21;21.0;25.0;38;26;3.0;4.0
8;21;21.0;49.0;37;27;27.0;28.0
4;23;23.0;24.0;41;22;1.0;1.0
15;23;23.0;31.0;40;21;9.0;8.0
4;23;24.0;37.0;39;18;12.0;13.0
6;24;24.0;29.0;42;27;5.0;5.0
2;27;27.0;35.0;48;28;7.0;8.0
16;27;27.0;35.0;47;27;9.0;8.0
13;27;27.0;28.0;43;4;1.0;1.0
14;27;27.0;38.0;45;12;11.0;11.0
7;27;27.0;33.0;44;27;5.0;6.0
13;28;28.0;53.0;49;22;25.0;25.0
6;30;30.0;43.0;50;23;12.0;13.0
11;30;30.0;40.0;51;8;9.0;10.0
15;32;32.0;49.0;52;28;17.0;17.0
0;32;32.0;48.0;53;6;15.0;16.0
